,season,name,shooting_score,passing_score,physical_score
0,2020,Josh Anderson,79,30,92
1,2019,Josh Anderson,44,29,90
2,2020,Ben Chiarot,20,33,89
3,2019,Ben Chiarot,42,39,87
4,2019,Joel Edmundson,39,42,87
5,2020,Cedric Paquette,58,26,79
6,2019,Joel Armia,80,52,76
7,2019,Shea Weber,56,71,75
8,2020,David Savard,17,28,75
9,2020,Alexander Romanov,10,20,74
10,2020,Joel Edmundson,27,43,74
11,2019,Jeff Petry,47,82,71
12,2019,Corey Perry,46,62,70
13,2019,Phillip Danault,74,87,69
14,2020,Jeff Petry,58,88,65
15,2019,Xavier Ouellet,6,52,65
16,2020,Brendan Gallagher,90,60,63
17,2019,Tomas Tatar,85,91,62
18,2020,Joel Armia,58,40,61
19,2020,Jake Evans,37,45,61
20,2019,Artturi Lehkonen,69,44,61
21,2020,Tyler Toffoli,94,68,61
22,2020,Paul Byron,52,51,59
23,2019,Brendan Gallagher,86,73,58
24,2020,Nick Suzuki,78,83,57
25,2019,Jesperi Kotkaniemi,61,19,56
26,2019,Jonathan Drouin,71,67,55
27,2020,Jonathan Drouin,41,84,54
28,2020,Mathieu Perreault,73,40,53
29,2020,Artturi Lehkonen,58,32,48
30,2019,Paul Byron,72,48,41
31,2020,Brett Kulak,19,28,41
32,2019,Brett Kulak,12,25,39
33,2019,Tyler Toffoli,84,63,32
34,2019,Jake Evans,63,21,29
35,2020,Christian Dvorak,90,58,28
36,2019,Nick Suzuki,64,78,22
37,2020,Mike Hoffman,84,78,22
38,2020,Cole Caufield,83,23,13
